SCHOOLID,SCHOOL_TYPE_CODE,BLANK,SCHOOL_NAME,DISTRICT_NAME,CITY,COUNTY,LOCAL_PROP_TAXES_DISTRICT_DOLLAR,LOCAL_PROP_TAXES_DISTRICT_PCT,LOCAL_PROP_TAXES_STATE_PCT,OTHER_LOCAL_FUNDING_DISTRICT_DOLLAR,OTHER_LOCAL_FUNDING_DISTRICT_PCT,OTHER_LOCAL_FUNDING_STATE_PCT,Total Local Dollars,TOTAL_REVENUE_SOURCE,dollars_per_enrollment,% Local Dollars,DISTRICT_TOTAL_ENROLLMENT,GENERAL_STATE_AID_DISTRICT_DOLLAR,GENERAL_STATE_AID_DISTRICT_PCT,GENERAL_STATE_AID_STATE_PCT,OTHER_STATE_FUNDING_DISTRICT_DOLLAR,OTHER_STATE_FUNDING_DISTRICT_PCT,OTHER_STATE_FUNDING_STATE_PCT,FEDERAL_FUNDING_DISTRICT_DOLLAR,FEDERAL_FUNDING_DISTRICT_PCT,FEDERAL_FUNDING_STATE_PCT,EAV_PER_PUPIL_DISTRICT,TOT_SCHL_TAX_RATE_PER_100_DISTRICT,OPER_EXPEND_PP_DISTRICT
510841860250001,0,,Lanphier High School,Springfield SD 186,Springfield,Sangamon,"$104,983,529",55.6,62.8,"$7,006,393",3.7,4.6,"$111,990,040","$188,756,241","$12,674.16",59.33%,"14,893","$35,408,627",18.8,16.3,"$17,678,422",9.4,8.6,"$23,679,270",12.5,7.7,"$146,730",5.02,"$12,287"
310451310220001,0,,East High School,Aurora East USD 131,Aurora,Kane,"$43,050,814",25.8,62.8,"$2,434,939",1.5,4.6,"$45,485,842","$166,613,284","$11,365.94",27.30%,"14,659","$83,542,140",50.1,16.3,"$16,115,491",9.7,8.6,"$21,469,900",12.9,7.7,"$44,362",6.9,"$11,335"
50160540041001,1,,Jane Addams JHS,Schaumburg CCSD 54,Schaumburg,Cook,"$164,664,841",83.8,62.8,"$2,713,512",1.4,4.6,"$167,378,500","$196,609,531","$13,510.83",85.13%,"14,552","$8,273,790",4.2,16.3,"$12,451,295",6.3,8.6,"$8,506,093",4.3,7.7,"$319,883",4.15,"$13,417"
170640050260001,0,,Normal Community High School,McLean County USD 5,Normal,McLean,"$106,658,116",73.4,62.8,"$6,522,213",4.5,4.6,"$113,180,465","$145,340,467","$10,569.45",77.87%,"13,751","$15,127,835",10.4,16.3,"$9,240,460",6.4,8.6,"$7,791,843",5.4,7.7,"$162,851",5.01,"$10,048"
480721500250023,0,,Manual Academy,Peoria SD 150,Peoria,Peoria,"$79,357,020",47.3,62.8,"$6,607,262",3.9,4.6,"$85,964,392","$167,878,417","$12,625.29",51.21%,"13,297","$43,762,362",26.1,16.3,"$13,098,635",7.8,8.6,"$25,053,138",14.9,7.7,"$109,933",5.06,"$13,458"
310453030260011,0,,St Charles East High School,St Charles CUSD 303,St Charles,Kane,"$161,736,503",85.1,62.8,"$7,815,549",4.1,4.6,"$169,552,200","$190,027,236","$14,713.68",89.23%,"12,915","$5,038,197",2.7,16.3,"$10,195,051",5.4,8.6,"$5,241,936",2.8,7.7,"$229,985",5.88,"$13,258"
190222000260020,0,,Wheaton Warrenville South H S,CUSD 200,Wheaton,Dupage,"$143,243,804",81.6,62.8,"$7,046,914",4,4.6,"$150,290,862","$175,628,752","$13,640.01",85.57%,"12,876","$6,345,676",3.6,16.3,"$11,346,962",6.5,8.6,"$7,645,396",4.4,7.7,"$224,910",5.2,"$12,636"
50160150041011,1,,Plum Grove Jr High School,Palatine CCSD 15,Rolling Meadows,Cook,"$120,669,943",78.5,62.8,"$3,371,572",2.2,4.6,"$124,041,656","$153,690,595","$12,144.65",80.71%,"12,655","$8,746,553",5.7,16.3,"$10,613,778",6.9,8.6,"$10,288,749",6.7,7.7,"$276,916",3.85,"$12,536"
310451290220001,0,,West Aurora High School,Aurora West USD 129,Aurora,Kane,"$87,655,998",58.2,62.8,"$3,329,187",2.2,4.6,"$90,985,306","$150,674,663","$12,002.12",60.39%,"12,554","$34,348,603",22.8,16.3,"$12,816,438",8.5,8.6,"$12,524,437",8.3,7.7,"$111,073",6.67,"$11,663"
60160990021002,1,,Unity Jr High School,Cicero SD 99,Cicero,Cook,"$31,059,808",21.6,62.8,"$1,451,799",1,4.6,"$32,511,691","$143,675,814","$11,521.72",22.63%,"12,470","$81,024,567",56.4,16.3,"$11,149,621",7.8,8.6,"$18,990,019",13.2,7.7,"$51,781",4.67,"$10,084"
50162110170001,0,,J B Conant High School,Township HSD 211,Hoffman Estates,Cook,"$211,501,146",86.6,62.8,"$10,060,602",4.1,4.6,"$221,561,897","$244,296,006","$20,325.82",90.69%,"12,019","$5,883,843",2.4,16.3,"$10,246,519",4.2,8.6,"$6,603,896",2.7,7.7,"$561,127",3.2,"$17,615"
50162140170002,0,,Elk Grove High School,Township HSD 214,Elk Grove Village,Cook,"$209,915,041",84.1,62.8,"$16,209,420",6.5,4.6,"$226,124,608","$249,689,944","$21,019.44",90.56%,"11,879","$5,632,863",2.3,16.3,"$11,396,771",4.6,8.6,"$6,535,849",2.6,7.7,"$666,045",2.77,"$19,850"
560990860051001,1,,Dirksen Junior High School,Joliet PSD 86,Joliet,Will,"$39,852,017",30.5,62.8,"$2,212,782",1.7,4.6,"$42,064,892","$130,794,573","$11,183.80",32.16%,"11,695","$59,381,917",45.4,16.3,"$14,802,798",11.3,8.6,"$14,545,059",11.1,7.7,"$81,123",4.29,"$10,743"
90100040260001,0,,Centennial High School,Champaign CUSD 4,Champaign,Champaign,"$85,716,555",67.2,62.8,"$10,574,130",8.3,4.6,"$96,290,815","$127,551,215","$12,817.93",75.49%,"9,951","$8,882,685",7,16.3,"$9,892,771",7.8,8.6,"$12,485,074",9.8,7.7,"$219,511",4.3,"$13,200"
440631580220002,0,,Huntley High School,Huntley Comm Sch Dist 158,Huntley,McHenry,"$64,821,276",64.9,62.8,"$6,408,805",6.4,4.6,"$71,230,209","$99,917,765","$10,547.64",71.29%,"9,473","$17,582,697",17.6,16.3,"$7,714,616",7.7,8.6,"$3,390,371",3.4,7.7,"$122,369",5.9,"$9,427"
390550610250036,0,,Eisenhower High School,Decatur SD 61,Decatur,Macon,"$34,640,602",34.8,62.8,"$8,392,797",8.4,4.6,"$43,033,497","$99,554,890","$10,932.89",43.23%,"9,106","$37,662,528",37.8,16.3,"$6,265,686",6.3,8.6,"$12,593,277",12.6,7.7,"$95,654",4.33,"$11,038"
340492200260004,0,,Barrington High School,Barrington CUSD 220,Barrington,Lake,"$124,399,642",84.3,62.8,"$7,177,882",4.9,4.6,"$131,577,671","$147,611,414","$16,679.26",89.14%,"8,850","$2,729,756",1.8,16.3,"$9,016,854",6.1,8.6,"$4,287,280",2.9,7.7,"$330,878",4.9,"$15,939"
190222050260003,0,,York Comm High School,Elmhurst SD 205,Elmhurst,Dupage,"$106,996,695",86.8,62.8,"$4,212,949",3.4,4.6,"$111,209,794","$123,244,513","$14,609.35",90.24%,"8,436","$2,959,468",2.4,16.3,"$5,657,400",4.6,8.6,"$3,418,001",2.8,7.7,"$254,271",5.28,"$13,744"
60162010170001,0,,J Sterling Morton East High Sch,J S Morton HSD 201,Cicero,Cook,"$50,057,202",47,62.8,"$2,067,521",1.9,4.6,"$52,124,833","$106,614,471","$12,860.61",48.89%,"8,290","$37,147,286",34.8,16.3,"$7,008,930",6.6,8.6,"$10,333,532",9.7,7.7,"$216,563",2.95,"$11,285"
40041000260001,0,,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,"$47,845,461",51.9,62.8,"$7,095,239",7.7,4.6,"$54,940,815","$92,110,380","$11,127.13",59.65%,"8,278","$24,826,903",27,16.3,"$6,375,053",6.9,8.6,"$5,967,724",6.5,7.7,"$97,048",6.36,"$10,669"
